iteration;duration(s);cost;route
1;25.57;967.0;[0, 6, 4, 7, 5]
2;25.50;967.0;[0, 6, 4, 7, 5]
3;25.68;967.0;[0, 6, 4, 7, 5]
4;25.78;967.0;[0, 6, 4, 7, 5]
5;25.59;967.0;[0, 6, 4, 7, 5]
6;25.55;967.0;[0, 6, 4, 7, 5]
7;26.03;967.0;[0, 5, 7, 4, 6]
8;25.54;967.0;[0, 6, 4, 7, 5]
9;25.82;967.0;[0, 6, 4, 7, 5]
10;25.69;967.0;[0, 6, 4, 7, 5]
11;25.71;967.0;[0, 5, 7, 4, 6]
12;25.62;967.0;[0, 6, 4, 7, 5]
13;25.88;967.0;[0, 6, 4, 7, 5]
14;25.71;967.0;[0, 6, 4, 7, 5]
15;25.66;967.0;[0, 6, 4, 7, 5]
16;25.75;967.0;[0, 6, 4, 7, 5]
17;25.74;967.0;[0, 5, 7, 4, 6]
18;25.67;967.0;[0, 5, 7, 4, 6]
19;25.69;967.0;[0, 6, 4, 7, 5]
20;25.81;967.0;[0, 6, 4, 7, 5]
21;25.78;967.0;[0, 6, 4, 7, 5]
22;26.17;967.0;[0, 6, 4, 7, 5]
23;25.72;967.0;[0, 6, 4, 7, 5]
24;25.81;967.0;[0, 6, 4, 7, 5]
25;25.72;967.0;[0, 6, 4, 7, 5]
26;26.13;967.0;[0, 6, 4, 7, 5]
27;25.77;967.0;[0, 6, 4, 7, 5]
28;25.83;967.0;[0, 6, 4, 7, 5]
29;25.79;967.0;[0, 6, 4, 7, 5]
30;25.71;967.0;[0, 6, 4, 7, 5]
