iteration;duration(s);cost;route
1;0.17;1036.0;[0, 5, 7, 8, 6, 3]
2;0.61;1036.0;[0, 3, 1, 7, 4, 6]
3;0.16;1036.0;[0, 3, 1, 7, 4, 6]
4;0.29;1036.0;[0, 3, 1, 7, 4, 6]
5;0.06;1036.0;[0, 3, 1, 7, 4, 6]
6;0.23;1036.0;[0, 5, 7, 8, 6, 3]
7;0.03;1036.0;[0, 3, 1, 7, 4, 6]
8;0.62;1036.0;[0, 3, 1, 7, 4, 6]
9;0.66;1036.0;[0, 3, 1, 7, 4, 6]
10;0.48;1036.0;[0, 5, 7, 8, 6, 3]
11;0.41;1036.0;[0, 3, 1, 7, 4, 6]
12;0.05;1036.0;[0, 3, 1, 7, 4, 6]
13;0.02;1036.0;[0, 3, 1, 7, 4, 6]
14;0.18;1036.0;[0, 3, 1, 7, 4, 6]
15;0.42;1036.0;[0, 3, 1, 7, 4, 6]
16;0.05;1036.0;[0, 3, 1, 7, 4, 6]
17;0.23;1036.0;[0, 3, 1, 7, 4, 6]
18;0.02;1036.0;[0, 3, 1, 7, 4, 6]
19;0.10;1036.0;[0, 3, 1, 7, 4, 6]
20;0.06;1036.0;[0, 3, 1, 7, 4, 6]
21;0.17;1036.0;[0, 3, 1, 7, 4, 6]
22;0.50;1036.0;[0, 3, 1, 7, 4, 6]
23;0.60;1036.0;[0, 5, 7, 8, 6, 3]
24;0.82;1036.0;[0, 3, 1, 7, 4, 6]
25;0.13;1036.0;[0, 3, 1, 7, 4, 6]
26;0.26;1036.0;[0, 3, 1, 7, 4, 6]
27;0.49;1036.0;[0, 3, 1, 7, 4, 6]
28;0.02;1036.0;[0, 3, 1, 7, 4, 6]
29;0.19;1036.0;[0, 3, 1, 7, 4, 6]
30;0.52;1036.0;[0, 3, 1, 7, 4, 6]
